City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Bet Shemesh,IL,75.0,overcast clouds,31.75,34.99,Bethlehem Suites Dreams
466,Sakakah,SA,75.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
467,Pozo Colorado,PY,87.58,clear sky,-23.49,-58.8,Hospedaje la Amistad
469,Gat,IL,75.0,overcast clouds,31.61,34.76,OlusHome
475,Laguna,US,78.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
476,Lorengau,PG,82.71,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
477,Tual,ID,83.7,overcast clouds,-5.67,132.75,Grand Vilia Hotel
479,Mecca,SA,80.6,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
481,Luangwa,ZM,81.28,few clouds,-15.62,30.42,Gerasimos Safari Lodge
482,Rawson,AR,88.21,clear sky,-43.3,-65.1,Hotel Punta León
484,Cockburn Town,TC,86.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
487,Dhidhdhoo,MV,82.56,few clouds,6.88,73.1,Dhidhoo beach
488,Narasannapeta,IN,76.42,scattered clouds,18.42,84.05,G.lingaraju home
493,Banda Aceh,ID,79.23,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
495,Coihaique,CL,78.8,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
497,Pinotepa Nacional,MX,89.01,clear sky,16.32,-98.02,Hotel Maria Del Carmen
502,Bara,NG,80.17,broken clouds,10.37,10.73,
503,Srivardhan,IN,79.25,broken clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
507,Vanimo,PG,78.71,heavy intensity rain,-2.67,141.3,Vahmoneh Lodge Vanimo
511,Rondonopolis,BR,85.68,broken clouds,-16.47,-54.64,Serras Hotel
517,Vila Velha,BR,75.2,broken clouds,-20.33,-40.29,Hotel Vitória Palace
523,Puerto Leguizamo,CO,80.8,light rain,-0.19,-74.78,la casona de juancho
527,Weligama,LK,77.29,clear sky,5.97,80.42,Weligama Bay Resort
530,Nova Olimpia,BR,86.52,overcast clouds,-14.8,-57.29,Motel glamour
535,Khon Buri,TH,75.0,light rain,14.53,102.25,บ้านพักสุขซาวด์ 24ชม.
536,San Luis,AR,82.51,clear sky,-33.3,-66.34,Huarpes Hotel
539,Palmas De Monte Alto,BR,84.9,overcast clouds,-14.27,-43.16,RAVENA AUTO POSTO LTDA
543,Belawan,ID,76.06,light rain,3.78,98.68,Lilik Hidayat Pulungan
544,Boa Vista,BR,82.4,shower rain,2.82,-60.67,Aipana Plaza Hotel
545,Kudahuvadhoo,MV,82.63,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
548,Umm Lajj,SA,80.28,broken clouds,25.02,37.27,Moon light Furnished Units
549,Idenao,CM,77.0,few clouds,4.25,9.0,Moland Beach Resort
559,Finschhafen,PG,79.7,clear sky,-6.6,147.87,Cossam Guest House
561,Carutapera,BR,82.94,clear sky,-1.2,-46.02,Lidera
565,Moindou,NC,78.8,clear sky,-21.69,165.68,Gite de la RYAWA
567,Salalah,OM,78.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
578,The Valley,AI,86.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
584,El Vigia,VE,87.51,light rain,8.62,-71.65,Liceo Bolivariano 19 De Abril
587,Yendi,GH,82.78,clear sky,9.44,-0.01,Eyarro Lodge
592,Hualahuises,MX,79.36,clear sky,24.88,-99.67,Quinta Vazquez
