City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,Mahajanga,-15.72,46.32,78.8,47,20,4.7,MG,2020-10-31 19:49:00
136,Bathsheba,13.22,-59.52,80.6,83,75,17.22,BB,2020-10-31 19:49:01
137,Puerto Ayora,-0.74,-90.35,77.0,73,75,16.11,EC,2020-10-31 19:49:01
138,San Cristobal,7.77,-72.22,86.0,62,40,11.41,VE,2020-10-31 19:49:01
139,Baghdad,33.34,44.4,75.2,27,0,10.29,IQ,2020-10-31 19:49:01
140,Waw,7.7,28.0,75.0,79,85,2.08,SS,2020-10-31 19:49:02
141,Cobija,-11.03,-68.77,80.37,51,99,1.83,BO,2020-10-31 19:49:02
142,Mahebourg,-20.41,57.7,68.0,72,20,3.36,MU,2020-10-31 19:46:58
143,Coquimbo,-29.95,-71.34,60.8,67,20,10.29,CL,2020-10-31 19:46:08
144,Itagi,-14.16,-40.01,81.81,64,91,3.36,BR,2020-10-31 19:49:02
145,Nanae,41.88,140.68,47.41,75,100,2.21,JP,2020-10-31 19:49:03
146,Cidreira,-30.18,-50.21,66.24,65,73,10.0,BR,2020-10-31 19:49:03
147,Raga,8.46,25.68,75.06,72,26,2.89,SS,2020-10-31 19:49:03
148,Kashi,39.45,75.98,41.0,27,0,11.18,CN,2020-10-31 19:49:03
149,Bengkulu,-3.8,102.27,75.67,88,100,4.21,ID,2020-10-31 19:49:04
150,Khatanga,71.97,102.5,-7.74,87,29,7.16,RU,2020-10-31 19:49:04
151,Genc,38.75,40.56,58.33,32,90,4.09,TR,2020-10-31 19:49:04
152,Kenai,60.55,-151.26,24.01,72,1,3.36,US,2020-10-31 19:49:05
153,Senneterre,48.38,-77.23,35.6,34,75,16.11,CA,2020-10-31 19:49:05
154,Pacific Grove,36.62,-121.92,75.2,31,20,6.93,US,2020-10-31 19:49:05
155,Namatanai,-3.67,152.43,80.62,79,84,6.4,PG,2020-10-31 19:49:06
156,La Ronge,55.1,-105.28,21.2,73,40,8.05,CA,2020-10-31 19:49:06
157,Hami,42.8,93.45,38.08,64,0,6.08,CN,2020-10-31 19:48:26
158,Soledade,-28.82,-52.51,64.78,64,1,11.41,BR,2020-10-31 19:49:06
159,Kpandae,8.47,-0.01,81.97,55,73,5.39,GH,2020-10-31 19:49:06
160,Karaman,37.08,33.25,47.48,74,89,5.19,TR,2020-10-31 19:49:07
161,Chara,56.91,118.26,8.22,89,100,3.74,RU,2020-10-31 19:49:07
162,Tigil,57.8,158.67,33.15,88,100,3.94,RU,2020-10-31 19:48:33
163,Sapernoye,60.72,29.95,37.0,92,3,3.69,RU,2020-10-31 19:49:07
164,Concepcion Del Sur,14.8,-88.17,77.0,69,40,9.17,HN,2020-10-31 19:49:07
165,Aksu,41.12,80.26,40.33,62,0,1.52,CN,2020-10-31 19:49:08
166,East London,-33.02,27.91,65.55,71,100,10.94,ZA,2020-10-31 19:49:08
167,Tessalit,20.2,1.01,80.53,16,11,9.73,ML,2020-10-31 19:49:08
168,Mut,36.64,33.44,56.05,64,18,2.3,TR,2020-10-31 19:49:08
169,Along,28.17,94.77,67.06,80,100,0.65,IN,2020-10-31 19:49:08
170,Nynashamn,58.9,17.95,52.0,95,100,5.01,SE,2020-10-31 19:44:26
171,Victoria,22.29,114.16,73.0,78,92,12.84,HK,2020-10-31 19:49:09
172,Carnarvon,-24.87,113.63,68.0,88,40,8.05,AU,2020-10-31 19:49:09
173,Samarai,-10.62,150.67,80.53,83,99,8.72,PG,2020-10-31 19:49:09
174,Yate,51.54,-2.42,51.01,84,100,8.99,GB,2020-10-31 19:46:56
175,Sao Joao Da Barra,-21.64,-41.05,71.6,94,90,18.34,BR,2020-10-31 19:49:10
176,Salalah,17.02,54.09,77.0,33,0,3.36,OM,2020-10-31 19:49:10
177,Tadine,-21.55,167.88,74.88,79,81,12.5,NC,2020-10-31 19:49:10
178,Aktau,43.65,51.2,50.0,29,0,13.42,KZ,2020-10-31 19:49:11
179,Puerto Madero,14.72,-92.42,89.6,62,20,6.93,MX,2020-10-31 19:49:11
180,Yanam,16.73,82.22,75.06,73,29,0.25,IN,2020-10-31 19:49:11
181,Guanica,17.97,-66.91,86.0,61,100,5.01,PR,2020-10-31 19:49:11
182,Alta,69.97,23.27,30.2,92,31,16.11,NO,2020-10-31 19:49:12
183,Hilo,19.73,-155.09,84.2,54,40,3.36,US,2020-10-31 19:45:43
184,Ribeira Grande,38.52,-28.7,69.8,94,75,18.34,PT,2020-10-31 19:49:12
185,Abeche,13.83,20.83,86.77,21,73,6.98,TD,2020-10-31 19:49:12
186,Venado Tuerto,-33.75,-61.97,75.99,31,0,5.99,AR,2020-10-31 19:49:13
187,Scottsbluff,41.87,-103.67,57.2,33,1,17.22,US,2020-10-31 19:49:13
188,Brigantine,39.41,-74.36,50.0,59,75,5.82,US,2020-10-31 19:47:09
189,Zhaotong,27.32,103.72,47.84,90,100,6.64,CN,2020-10-31 19:49:13
190,Port-Cartier,50.03,-66.87,35.01,43,0,9.17,CA,2020-10-31 19:49:14
191,Pokaran,26.92,71.92,73.69,19,0,4.56,IN,2020-10-31 19:49:14
192,Esperance,-33.87,121.9,64.4,42,100,6.93,AU,2020-10-31 19:49:15
193,Iqaluit,63.75,-68.51,19.4,79,75,11.41,CA,2020-10-31 19:49:15
194,Bilibino,68.05,166.44,-0.56,84,76,2.53,RU,2020-10-31 19:49:15
195,Taicheng,38.73,113.23,37.08,67,0,4.47,CN,2020-10-31 19:49:17
196,Souillac,-20.52,57.52,68.0,72,20,3.36,MU,2020-10-31 19:45:55
197,Kavieng,-2.57,150.8,83.01,76,5,11.14,PG,2020-10-31 19:49:17
198,Rocha,-34.48,-54.33,61.59,72,6,8.7,UY,2020-10-31 19:49:17
199,Palaia Fokaia,37.72,23.95,66.0,62,20,2.24,GR,2020-10-31 19:49:18
200,Pevek,69.7,170.31,13.39,96,65,11.36,RU,2020-10-31 19:49:18
201,Homer,59.64,-151.55,26.01,45,1,8.05,US,2020-10-31 19:48:32
202,Xiamen,24.48,118.08,66.2,68,0,7.14,CN,2020-10-31 19:49:18
203,Gat,31.61,34.76,75.99,100,2,2.39,IL,2020-10-31 19:49:01
204,Sungaipenuh,-2.08,101.38,64.27,91,100,1.12,ID,2020-10-31 19:49:19
205,Lavrentiya,65.58,-171.0,20.07,92,28,8.28,RU,2020-10-31 19:49:19
206,Acarau,-2.89,-40.12,82.51,71,100,16.96,BR,2020-10-31 19:49:19
207,San-Pedro,4.75,-6.64,77.68,90,79,4.12,CI,2020-10-31 19:49:20
208,San Rafael Del Sur,11.85,-86.44,91.4,63,20,4.7,NI,2020-10-31 19:49:20
209,Kaitangata,-46.28,169.85,55.99,55,55,10.0,NZ,2020-10-31 19:45:53
210,Celestun,20.87,-90.4,79.3,79,62,12.46,MX,2020-10-31 19:49:21
211,Jinxiang,27.43,120.61,61.81,84,31,7.94,CN,2020-10-31 19:49:21
212,Vostok,46.49,135.88,34.48,96,100,5.06,RU,2020-10-31 19:49:21
213,Kichmengskiy Gorodok,59.98,45.79,29.35,98,0,4.38,RU,2020-10-31 19:49:21
214,Beringovskiy,63.05,179.32,18.5,95,99,11.9,RU,2020-10-31 19:49:22
215,Ancud,-41.87,-73.82,70.0,55,0,9.17,CL,2020-10-31 19:49:22
216,Pangnirtung,66.15,-65.71,19.4,52,75,2.24,CA,2020-10-31 19:49:22
217,Cayenne,4.93,-52.33,84.2,83,75,10.29,GF,2020-10-31 19:49:23
218,Puerto Penasco,31.32,-113.53,80.06,29,100,4.74,MX,2020-10-31 19:48:42
219,Jiaocheng,24.68,116.14,63.88,78,0,2.1,CN,2020-10-31 19:49:23
220,Megion,61.03,76.11,32.0,98,0,8.95,RU,2020-10-31 19:49:24
221,Tsumeb,-19.23,17.72,80.96,34,64,5.55,NA,2020-10-31 19:49:25
222,Sitka,57.05,-135.33,51.8,87,90,25.28,US,2020-10-31 19:49:25
223,Planeta Rica,8.41,-75.59,85.62,75,100,7.2,CO,2020-10-31 19:49:25
224,Butaritari,3.07,172.79,81.25,75,100,15.48,KI,2020-10-31 19:46:08
225,Pedernales,18.04,-71.74,84.2,79,75,9.17,DO,2020-10-31 19:49:26
226,Amos,48.57,-78.12,36.0,34,75,16.11,CA,2020-10-31 19:49:26
227,Neiafu,-18.65,-173.98,73.4,94,90,2.24,TO,2020-10-31 19:49:27
